from,to,dndsvalue,root_from,superkingdom_from,phylum_from,class_from,order_from,family_from,genus_from,species_from,root_to,superkingdom_to,phylum_to,class_to,order_to,family_to,genus_to,species_to
GCA_019423565.1,GCA_900546245.1,0.935529012470274,Root,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-433,CAG-433 sp019423565,Root,Bacteria,Bacillota,Bacilli,RF39,UBA660,CAG-433,CAG-433 sp900546245
GCF_901212495.1,GCA_022728415.1,0.825445954389303,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens_H,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp022728415
GCA_002395925.1,GCA_900317065.1,0.92137027058693,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp002395925,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,UBA932,Cryptobacteroides,Cryptobacteroides sp900317065
GCA_021810575.1,GCA_021816385.1,0.959865346100426,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp021810575,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp021816385
GCA_021810575.1,GCA_021819225.1,0.99240775872829,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp021810575,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp021819225
GCA_905067535.1,GCA_905067555.1,0.960411600459286,Root,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,EX4572-44,Ethanoperedens,Ethanoperedens ethanivorans_B,Root,Archaea,Halobacteriota,Methanosarcinia,Methanosarcinales,EX4572-44,Ethanoperedens,Ethanoperedens ethanivorans_C
GCA_025150745.1,GCA_900764695.1,0.902395425141493,Root,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_G,Eubacterium_G ventriosum,Root,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Eubacterium_G,Eubacterium_G sp900764695
GCA_021790855.1,GCA_021790735.1,0.926051239777196,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrithrix,Ferrithrix sp021790855,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrithrix,Ferrithrix sp021790735
GCA_021835185.1,GCF_002078355.1,0.962283250320754,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021835185,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma acidiphilum
GCA_021846695.1,GCA_021802165.1,0.999978574082514,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021846695,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021802165
GCA_021846695.1,GCA_021806295.1,0.830754420556448,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021846695,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021806295
GCA_021826795.1,GCA_021797225.1,0.850372817174215,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021826795,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021797225
GCA_021797025.1,GCA_021797735.1,0.877376532151733,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021797025,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Ferroplasma,Ferroplasma sp021797735
GCA_021793855.1,GCA_021797915.1,0.868743573469538,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp021793855,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp021797915
GCA_023379555.1,GCA_021831005.1,0.812822719547844,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp023379555,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,GCA-001856825,GCA-001856825,GCA-001856825 sp021831005
GCA_902632575.1,GCA_902543855.1,0.803403846672539,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902632575,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902543855
GCA_902632575.1,GCA_902595525.1,0.973446799059137,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902632575,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902595525
GCA_902575725.1,GCA_902542505.1,0.801738813965862,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902575725,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902542505
GCA_014323675.1,GCA_014324065.1,0.886241743632759,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Hormoscilla,Hormoscilla sp014323675,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,Cyanobacteriales,Desertifilaceae,Hormoscilla,Hormoscilla sp014324065
GCA_002779205.1,GCA_016783995.1,0.851486603694838,Root,Bacteria,Actinomycetota,Humimicrobiia,Humimicrobiales,Humimicrobiaceae,Hydromicrobium,Hydromicrobium americanum,Root,Bacteria,Actinomycetota,Humimicrobiia,Humimicrobiales,Humimicrobiaceae,Hydromicrobium,Hydromicrobium sp016783995
GCA_002779205.1,GCA_018894445.1,0.91856851259495,Root,Bacteria,Actinomycetota,Humimicrobiia,Humimicrobiales,Humimicrobiaceae,Hydromicrobium,Hydromicrobium americanum,Root,Bacteria,Actinomycetota,Humimicrobiia,Humimicrobiales,Humimicrobiaceae,Hydromicrobium,Hydromicrobium sp018894445
GCA_021785115.1,GCA_021777365.1,0.934468061809913,Root,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,JAJYNJ01,JAJYNJ01 sp021785115,Root,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,JAJYNJ01,JAJYNJ01 sp021777365
GCA_021785115.1,GCA_021802185.1,0.938901760367881,Root,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,JAJYNJ01,JAJYNJ01 sp021785115,Root,Bacteria,Chloroflexota,Limnocylindria,Limnocylindrales,CSP1-4,JAJYNJ01,JAJYNJ01 sp021802185
GCA_021787255.1,GCA_021791145.1,0.857923760881829,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJYVT01,JAJYVT01 sp021787255,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJYVT01,JAJYVT01 sp021791145
GCA_021799915.1,GCA_021791615.1,0.837690485746063,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJYWF01,JAJYWF01 sp021799915,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJYWF01,JAJYWF01 sp021791615
GCA_021799915.1,GCA_021791635.1,0.946935510336144,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJYWF01,JAJYWF01 sp021799915,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJYWF01,JAJYWF01 sp021791635
GCA_021850545.1,GCA_021850835.1,0.992297284618714,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021850545,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZOM01,JAJZOM01 sp021850835
GCA_021787035.1,GCA_021798075.1,0.878324319270333,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Palsa-688,JAJZYO01,JAJZYO01 sp021787035,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,Palsa-688,JAJZYO01,JAJZYO01 sp021798075
GCA_021802085.1,GCA_021805955.1,0.814047449673488,Root,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,JAKAAZ01,JAKAAZ01 sp021802085,Root,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,JAKAAZ01,JAKAAZ01 sp021805955
GCA_021789755.1,GCA_021796055.1,0.877227040600831,Root,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,JAKASW01,JAKASW01,JAKASW01 sp021789755,Root,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,JAKASW01,JAKASW01,JAKASW01 sp021796055
GCA_021818565.1,GCA_021819825.1,0.966972921307142,Root,Bacteria,Planctomycetota,Phycisphaerae,WQYP01,WQYP01,JAMDCX01,JAMDCX01 sp021818565,Root,Bacteria,Planctomycetota,Phycisphaerae,WQYP01,WQYP01,JAMDCX01,JAMDCX01 sp021819825
GCA_021816465.1,GCA_021829515.1,0.815424715479447,Root,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,Leptospirillum,Leptospirillum sp021816465,Root,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,Leptospirillum,Leptospirillum sp021829515
GCA_902778115.1,GCA_902786615.1,0.945415167996974,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,Limivicinus sp902778115,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Limivicinus,Limivicinus sp902786615
GCF_900475315.1,GCA_923184405.1,0.874216506580649,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria cinerea,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,Neisseria meningitidis_C
GCA_021817165.1,GCA_021834945.1,0.838702545459815,Root,Archaea,Nanoarchaeota,Nanoarchaeia,Parvarchaeales,Parvarchaeaceae,Parvarchaeum,Parvarchaeum sp021817165,Root,Archaea,Nanoarchaeota,Nanoarchaeia,Parvarchaeales,Parvarchaeaceae,Parvarchaeum,Parvarchaeum sp021834945
GCA_014654065.1,GCA_002692475.1,0.947479074441522,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp014654065,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,Pelagibacter,Pelagibacter sp002692475
GCF_000012825.1,GCA_019414725.1,0.970494985382873,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola vulgatus,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp019414725
GCA_025151535.1,GCA_900557255.1,0.882927024322691,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella copri,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900557255
GCA_002371695.1,GCA_002342665.1,0.879924007629846,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002371695,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002342665
GCA_934191715.1,GCA_900557255.1,0.840925059518852,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp934191715,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900557255
GCA_013139985.1,GCA_013180565.1,0.982086063008203,Root,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QENH01,QENH01 sp013139985,Root,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QENH01,QENH01 sp013180565
GCA_023659935.1,GCA_023659975.1,0.83029221112905,Root,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZS01,QMZS01,QMZS01,QMZS01 sp023659935,Root,Archaea,Aenigmatarchaeota,Aenigmatarchaeia,QMZS01,QMZS01,QMZS01,QMZS01 sp023659975
GCA_021777285.1,GCA_021807265.1,0.805400152756069,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,RAAP-2 sp021777285,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,RAAP-2,RAAP-2 sp021807265
GCA_021812505.1,GCA_021813805.1,0.864059760394783,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,Rhodoblastus sp021812505,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Rhodoblastus,Rhodoblastus sp021813805
GCF_900537995.1,GCA_019411365.1,0.941603977917808,Root,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia intestinalis,Root,Bacteria,Bacillota_A,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia sp019411365
GCA_900100595.1,GCF_016680995.1,0.818034445357263,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcus_E,Ruminococcus_E sp900100595,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Acutalibacteraceae,Ruminococcus_E,Ruminococcus_E sp016680995
GCA_000747625.2,GCA_000753945.1,0.888550507368678,Root,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella,Smithella sp000747625,Root,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella,Smithella sp000753945
GCF_001267885.1,GCA_021502835.1,0.836485660867109,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces ambofaciens,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis
GCA_021502835.1,GCF_019049325.1,0.814688273820196,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp019049325
GCF_002005565.1,GCA_021502835.1,0.840106642950662,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002005565,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis
GCF_014649815.1,GCA_021502835.1,0.828884588349973,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces mutabilis,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis
GCF_009862125.1,GCA_021502835.1,0.815330294754176,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp009862125,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis
GCA_900769325.1,GCA_900769985.1,0.844535121242271,Root,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D sp900769325,Root,Bacteria,Spirochaetota,Spirochaetia,Treponematales,Treponemataceae,Treponema_D,Treponema_D sp900769985
GCA_017463935.1,GCA_002449695.1,0.934318740708727,Root,Bacteria,Verrucomicrobiota,Kiritimatiellia,RFP12,UBA1067,UBA1067,UBA1067 sp017463935,Root,Bacteria,Verrucomicrobiota,Kiritimatiellia,RFP12,UBA1067,UBA1067,UBA1067 sp002449695
GCA_004124535.1,GCA_002713385.1,0.826138123065487,Root,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,TCS55,UBA2126,UBA2126 sp004124535,Root,Bacteria,Marinisomatota,Marinisomatia,Marinisomatales,TCS55,UBA2126,UBA2126 sp002713385
GCA_902761575.1,GCA_902793555.1,0.806101078747046,Root,Bacteria,Verrucomicrobiota,Kiritimatiellia,RFP12,UBA3636,UBA3636,UBA3636 sp902761575,Root,Bacteria,Verrucomicrobiota,Kiritimatiellia,RFP12,UBA3636,UBA3636,UBA3636 sp902793555
GCA_913041025.1,GCA_913051785.1,0.976450471637289,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA4421,UBA4421 sp913041025,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,HTCC2089,UBA4421,UBA4421 sp913051785
GCA_021802365.1,GCA_021804185.1,0.915965330009155,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA447,UBA447 sp021802365,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,UBA447,UBA447 sp021804185
GCA_021838585.1,GCA_021802325.1,0.997126180665917,Root,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,UBA4572,UBA4572 sp021838585,Root,Bacteria,Nitrospirota_A,Leptospirillia,Leptospirillales,Leptospirillaceae,UBA4572,UBA4572 sp021802325
GCF_000376585.1,GCF_018141665.1,0.950291516498433,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia sp000376585,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,Wolbachia,Wolbachia sp001439985
