from,to,dndsvalue,root_from,superkingdom_from,phylum_from,class_from,order_from,family_from,genus_from,species_from,root_to,superkingdom_to,phylum_to,class_to,order_to,family_to,genus_to,species_to,taxon_from,taxon_to
GCA_021826655.1,GCA_021806045.1,0.7705605762571832,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,Bog-756,Bog-756 sp021826655,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJZDI01,JAJZDI01 sp021806045,RAAP-2,RAAP-2
GCF_010211755.1,GCF_017163755.1,0.5333912652932586,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas_A,Pseudoxanthomonas_A sangjuensis,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas_A,Xanthomonas_A sp017163755,Xanthomonadaceae,Xanthomonadaceae
GCF_001279005.1,GCA_021502835.1,0.5819237099892545,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces caelestis_A,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Streptomycetaceae,Streptomycetaceae
GCF_000510725.1,GCF_024266585.1,0.5234143430115098,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas sp000510725,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas_A,Xanthomonas_A sacchari_C,Xanthomonadaceae,Xanthomonadaceae
GCA_024235995.1,GCA_016703145.1,0.5502267630477458,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,Ottowia,Ottowia sp018240925,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Burkholderiaceae_B,Ottowia,Ottowia sp016703145,Burkholderiaceae_B,Burkholderiaceae_B
GCA_902790525.1,GCA_902793325.1,0.5046195799800787,Root,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,UBA2862,UBA2862 sp902790525,Root,Bacteria,Bacillota_A,Clostridia,Christensenellales,CAG-74,UBA2862,UBA2862 sp902793325,CAG-74,CAG-74
GCA_902517275.1,GCA_902514865.1,0.5535817429332395,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Puniceispirillales,AAA536-G10,AAA536-G10,AAA536-G10 sp902517275,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Puniceispirillales,AAA536-G10,AAA536-G10,AAA536-G10 sp902514865,AAA536-G10,AAA536-G10
GCF_000559025.1,GCF_000513995.1,0.5821005246778093,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas_D,Luteimonas_D huabeiensis,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas sp000513995,Xanthomonadaceae,Xanthomonadaceae
GCF_017163705.1,GCF_009496535.1,0.5464569503688141,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas_A,Xanthomonas_A bonasiae,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas sp003504055,Xanthomonadaceae,Xanthomonadaceae
GCF_000510725.1,GCF_021168555.1,0.566737345623329,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas sp000510725,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,MMGLT7,MMGLT7 sp021168555,Xanthomonadaceae,Xanthomonadaceae
GCA_013792055.1,GCA_019309665.1,0.5336809191394312,Root,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,ETH-SRB1,B13-G4,B13-G4 sp013792055,Root,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,ETH-SRB1,B13-G4,B13-G4 sp019309665,ETH-SRB1,ETH-SRB1
GCA_900554945.1,GCF_000024265.1,0.5445030349759301,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Ellagibacter,Ellagibacter sp900554945,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Eggerthella,Eggerthella lenta,Eggerthellaceae,Eggerthellaceae
GCF_002291145.1,GCA_021502835.1,0.6037526022216019,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp002291145,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Streptomycetaceae,Streptomycetaceae
GCA_003336485.1,GCA_013180565.1,0.507498623610949,Root,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QENH01,QENH01 sp003336485,Root,Archaea,Halobacteriota,Syntropharchaeia,ANME-1,ANME-1,QENH01,QENH01 sp013180565,ANME-1,ANME-1
GCA_902576905.1,GCA_902581005.1,0.5421876611958061,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CACIJG01,CACIJG01 sp902576905,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,CACIJG01,CACIJG01 sp902581005,Rhodobacteraceae,Rhodobacteraceae
GCA_021846065.1,GCA_021851335.1,0.7712586909015626,Root,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,CAIVDV01,CAIVDV01 sp021846065,Root,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,CAIVDV01,CAIVDV01 sp021851335,Acidobacteriaceae,Acidobacteriaceae
GCA_902615165.1,GCA_003281285.1,0.5520981718451228,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp902615165,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp003281285,Cyanobiaceae,Cyanobiaceae
GCF_000513955.1,GCF_017163705.1,0.5090437833218194,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas suwonensis_C,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas_A,Xanthomonas_A bonasiae,Xanthomonadaceae,Xanthomonadaceae
GCA_934191715.1,GCF_009494135.1,0.5465256416149776,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp934191715,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella copri_B,Bacteroidaceae,Bacteroidaceae
GCF_011008945.1,GCA_021502835.1,0.6238855202214004,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces harenosi,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Streptomycetaceae,Streptomycetaceae
GCA_900764955.1,GCA_900540845.1,0.6452551378480051,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp900764955,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella sp900540845,Coriobacteriaceae,Coriobacteriaceae
GCA_002279065.1,GCF_001428405.1,0.5074655002260495,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dyella_A,Dyella_A sp002279065,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Frateuria_A,Frateuria_A sp001428405,Rhodanobacteraceae,Rhodanobacteraceae
GCA_021568835.1,GCA_021502835.1,0.6061716009917965,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces sp021568835,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Streptomycetaceae,Streptomycetaceae
GCF_003112595.1,GCA_021502835.1,0.7637993340708187,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces rubrogriseus,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Streptomycetaceae,Streptomycetaceae
GCA_021151525.1,GCA_021151615.1,0.6359388336255212,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,Cellvibrio sp021151525,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Cellvibrionaceae,Cellvibrio,Cellvibrio sp021151615,Cellvibrionaceae,Cellvibrionaceae
GCA_000715635.1,GCF_002150735.1,0.547088217811989,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces violaceus,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces africanus,Streptomycetaceae,Streptomycetaceae
GCA_003282885.1,GCA_003283875.1,0.5234039319337632,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Puniceispirillales,AAA536-G10,AAA536-G10,AAA536-G10 sp003282885,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,Puniceispirillales,AAA536-G10,AAA536-G10,AAA536-G10 sp003283875,AAA536-G10,AAA536-G10
GCA_017523995.1,GCA_017545185.1,0.5235478954246455,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Firm-04,Firm-04 sp017523995,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Ruminococcaceae,Firm-04,Firm-04 sp017545185,Ruminococcaceae,Ruminococcaceae
GCF_003696305.1,GCF_900104805.1,0.5220792173852021,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E sp003696305,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_K,Pseudomonas_K oryzae,Pseudomonadaceae,Pseudomonadaceae
GCA_021803845.1,GCA_021791295.1,0.5341297460096653,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021803845,Root,Bacteria,SZUA-79,SZUA-79,Acidulodesulfobacterales,Acidulodesulfobacteraceae,Acidulodesulfobacterium_A,Acidulodesulfobacterium_A sp021791295,Acidulodesulfobacteraceae,Acidulodesulfobacteraceae
GCA_019412865.1,GCA_900557355.1,0.6164023960084216,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp019412865,Root,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp900557355,Bacteroidaceae,Bacteroidaceae
GCA_902575725.1,GCA_902595525.1,0.559317240335083,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902575725,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,HIMB59,HIMB59,HIMB59 sp902595525,HIMB59,HIMB59
GCF_003205495.1,GCF_900109175.1,0.5415330383704543,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_E,Pseudomonas_E alcaligenes_B,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas_K,Pseudomonas_K linyingensis,Pseudomonadaceae,Pseudomonadaceae
GCA_902573045.1,GCA_902550485.1,0.5202280747374329,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp902573045,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp902550485,Cyanobiaceae,Cyanobiaceae
GCA_900169505.1,GCF_000210055.1,0.552729140757624,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Arabiibacter,Arabiibacter massiliensis,Root,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Gordonibacter,Gordonibacter pamelaeae,Eggerthellaceae,Eggerthellaceae
GCA_000634415.1,GCA_902572075.1,0.5002415576214149,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp000634415,Root,Bacteria,Cyanobacteriota,Cyanobacteriia,PCC-6307,Cyanobiaceae,Prochlorococcus_A,Prochlorococcus_A sp902572075,Cyanobiaceae,Cyanobiaceae
GCF_001418415.1,GCA_021502835.1,0.6006914704252997,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces hirsutus,Root,Bacteria,Actinomycetota,Actinomycetia,Streptomycetales,Streptomycetaceae,Streptomyces,Streptomyces thinghirensis,Streptomycetaceae,Streptomycetaceae
GCA_019310725.1,GCA_020351915.1,0.5634619321492713,Root,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,B25-G16,B33-G16,B33-G16 sp019310725,Root,Bacteria,Desulfobacterota,DSM-4660,Desulfatiglandales,B25-G16,B33-G16,B33-G16 sp020351915,B25-G16,B25-G16
GCA_902622475.1,GCA_902539825.1,0.6133791513647288,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,GCA-002718135,AG-337-I02,AG-337-I02 sp902622475,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,GCA-002718135,AG-337-I02,AG-337-I02 sp902539825,GCA-002718135,GCA-002718135
GCA_902622475.1,GCA_902613275.1,0.5387564206320694,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,GCA-002718135,AG-337-I02,AG-337-I02 sp902622475,Root,Bacteria,Pseudomonadota,Alphaproteobacteria,HIMB59,GCA-002718135,AG-337-I02,AG-337-I02 sp902613275,GCA-002718135,GCA-002718135
GCA_021805685.1,GCA_021798675.1,1.604269905966809,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter sp021805685,Root,Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter sp021798675,Rhodanobacteraceae,Rhodanobacteraceae
GCA_900754605.1,GCF_005121165.3,1.5154433248614894,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Lawsonibacter,Lawsonibacter sp900754605,Root,Bacteria,Bacillota_A,Clostridia,Oscillospirales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis,Oscillospiraceae,Oscillospiraceae
GCA_021850345.1,GCA_021810205.1,1.5920909593779933,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJYVT01,JAJYVT01 sp021850345,Root,Bacteria,Actinomycetota,Acidimicrobiia,Acidimicrobiales,RAAP-2,JAJYVT01,JAJYVT01 sp021810205,RAAP-2,RAAP-2
GCA_021826835.1,GCA_021833045.1,1.6180121884013996,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAKAYH01,JAKAYH01 sp021826835,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Cuniculiplasma,Cuniculiplasma sp021833045,Thermoplasmataceae,Thermoplasmataceae
GCA_021799405.1,GCA_021810735.1,1.5760108181320933,Root,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,Terracidiphilus,Terracidiphilus sp021799405,Root,Bacteria,Acidobacteriota,Terriglobia,Terriglobales,Acidobacteriaceae,JAJZIF01,JAJZIF01 sp021810735,Acidobacteriaceae,Acidobacteriaceae
GCA_021797955.1,GCA_021790415.1,1.8635861801128217,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,JAJZYV01,JAJZYV01 sp021797955,Root,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,GCA-000496135,GCA-000496135 sp021790415,Thermoplasmataceae,Thermoplasmataceae
