from,to,dndsvalue
GCA_021784205.1,GCA_021790675.1,1.6115474474709501
GCA_021785115.1,GCA_021787395.1,1.581713789259243
GCF_017255015.1,GCF_004521985.1,1.8528353276252925
GCA_905188025.1,GCA_905209745.1,1.8241980194486032
GCA_021827865.1,GCA_021811485.1,1.5431404622683393
GCA_023379555.1,GCA_021797915.1,1.728818605312096
GCA_021810175.1,GCA_021810735.1,1.741579235117269
GCF_010509575.1,GCF_000174195.1,1.8549737920536202
GCA_017405445.1,GCA_017406955.1,1.5950717704901358
GCA_003220225.1,GCA_003222275.1,1.6955201592113014
GCA_021816965.1,GCA_021833045.1,1.5293775350894707
GCA_023475455.1,GCA_021791235.1,1.9011597871434993
GCA_905209745.1,GCA_900752905.1,1.7428516538618033
GCA_021850345.1,GCA_021796545.1,1.8828517392818367
GCA_021837545.1,GCA_021780795.1,1.9928853014209063
GCF_001043055.1,GCA_021648845.1,1.8925615727664629
GCA_021848095.1,GCA_021850955.1,1.8852172544817793
GCA_017882855.1,GCA_017881985.1,1.7883064143165404
GCA_021816165.1,GCA_021808485.1,1.94401115237259
GCA_002894305.1,GCF_001592225.1,1.6223376477378653
GCA_021810175.1,GCA_021791875.1,1.8904973995642758
GCA_021797225.1,GCA_021797385.1,1.5354608156696665
GCA_019248085.1,GCA_019248265.1,1.614151000088643
GCA_021835265.1,GCA_021790415.1,1.5190388344940302
GCA_900316555.1,GCF_016680995.1,1.6999811550319184
GCA_017417585.1,GCA_017431185.1,1.7013097761936158
GCF_900083515.1,GCA_021833045.1,1.6629105159196391
GCA_023379515.1,GCA_023488645.1,1.5215414894303896
GCA_017476705.1,GCA_017478105.1,1.760569671826202
GCF_000023205.1,GCA_005473895.2,1.7748759456035679
GCF_900083515.1,GCA_021835265.1,1.6752478118557461
GCA_023379435.1,GCA_021826835.1,1.851620469156741
GCA_021803885.1,GCA_021804195.1,1.5073707698929628
GCA_021793035.1,GCA_023474385.1,1.8268690101956515
GCA_021799755.1,GCA_021785735.1,1.5782013363524505
GCF_000146345.1,GCF_900232825.1,1.9517302355396677
GCA_905200565.1,GCA_905201705.1,1.9413247295401643
GCA_021825785.1,GCA_021812785.1,1.5682334427302507
GCA_019410105.1,GCF_000239295.1,1.568817014993759
GCA_017434555.1,GCA_017406775.1,1.8694231138633335
GCA_000193795.2,GCA_923184405.1,1.7214293161937992
GCA_913041275.1,GCA_902516225.1,1.6424692939352539
GCA_021844645.1,GCA_021829515.1,1.647740099419806
GCA_021793945.1,GCA_021792595.1,1.596052676704304
GCA_021809755.1,GCA_021790415.1,1.8762400065566778
GCA_021802375.1,GCA_021797635.1,1.9801804280735882
GCF_928097925.1,GCF_000307225.1,1.668664059522046
GCA_900549685.1,GCF_006542665.1,1.6175206375192759
GCA_021805955.1,GCA_021798735.1,1.6441756770916407
GCA_900754605.1,GCF_000239295.1,1.5412968441580448
GCA_003138975.1,GCA_002478115.1,1.8692036243405254
GCA_017416535.1,GCA_017434825.1,1.8479831646044291
GCA_002730735.1,GCA_002720285.1,1.7282561946310377
